As of,Rank,Year to Date Rank,Last Week Rank,Title,Type,Netflix Exclusive,Netflix Release Date,Days In Top 10,Viewership Score
2020-04-18,1,1,-,Despicable Me,Movie,,"Apr 16, 2020",2,20
2020-04-18,2,2,1,"Tiger King: Murder, Mayhem …",TV Show,Yes,"Mar 20, 2020",26,258
2020-04-18,3,3,-,Outer Banks,TV Show,Yes,"Apr 15, 2020",3,21
2020-04-18,4,4,2,Ozark,TV Show,Yes,"Jul 21, 2017",22,193
2020-04-18,5,-,-,Too Hot to Handle,TV Show,Yes,"Apr 17, 2020",1,6
2020-04-18,6,-,-,#blackAF,TV Show,Yes,"Apr 17, 2020",1,5
2020-04-18,7,6,-,Code 8,Movie,,"Apr 11, 2020",7,46
2020-04-18,8,5,-,The Innocence Files,TV Show,Yes,"Apr 15, 2020",3,15
2020-04-18,9,7,7,All American,TV Show,,"Mar 28, 2019",26,158
2020-04-18,10,8,5,Money Heist,TV Show,Yes,"Dec 20, 2017",15,79
2020-04-19,1,1,-,Despicable Me,Movie,,"Apr 16, 2020",3,30
2020-04-19,2,5,-,Too Hot to Handle,TV Show,Yes,"Apr 17, 2020",2,15
2020-04-19,3,2,1,"Tiger King: Murder, Mayhem …",TV Show,Yes,"Mar 20, 2020",27,266
2020-04-19,4,3,-,Outer Banks,TV Show,Yes,"Apr 15, 2020",4,28
2020-04-19,5,6,-,#blackAF,TV Show,Yes,"Apr 17, 2020",2,11
2020-04-19,6,4,2,Ozark,TV Show,Yes,"Jul 21, 2017",23,198
2020-04-19,7,8,-,The Innocence Files,TV Show,Yes,"Apr 15, 2020",4,19
2020-04-19,8,7,7,Code 8,Movie,,"Apr 11, 2020",8,49
2020-04-19,9,-,-,Waco,TV Show,,"Apr 16, 2020",1,2
2020-04-19,10,10,6,Money Heist,TV Show,Yes,"Dec 20, 2017",16,80
2020-04-20,1,1,-,Despicable Me,Movie,,"Apr 16, 2020",4,40
2020-04-20,2,2,-,Too Hot to Handle,TV Show,Yes,"Apr 17, 2020",3,24
2020-04-20,3,4,-,Outer Banks,TV Show,Yes,"Apr 15, 2020",5,36
2020-04-20,4,3,1,"Tiger King: Murder, Mayhem …",TV Show,Yes,"Mar 20, 2020",28,273
2020-04-20,5,5,-,#blackAF,TV Show,Yes,"Apr 17, 2020",3,17
2020-04-20,6,6,3,Ozark,TV Show,Yes,"Jul 21, 2017",24,203
2020-04-20,7,9,-,Waco,TV Show,,"Apr 16, 2020",2,6
2020-04-20,8,7,-,The Innocence Files,TV Show,Yes,"Apr 15, 2020",5,22
2020-04-20,9,8,2,Code 8,Movie,,"Apr 11, 2020",9,51
2020-04-20,10,-,-,The Green Hornet,Movie,,"Apr 18, 2020",1,1
2020-04-21,1,2,-,Too Hot to Handle,TV Show,Yes,"Apr 17, 2020",4,34
2020-04-21,2,3,-,Outer Banks,TV Show,Yes,"Apr 15, 2020",6,45
2020-04-21,3,1,-,Despicable Me,Movie,,"Apr 16, 2020",5,48
2020-04-21,4,7,-,Waco,TV Show,,"Apr 16, 2020",3,13
2020-04-21,5,4,1,"Tiger King: Murder, Mayhem …",TV Show,Yes,"Mar 20, 2020",29,279
2020-04-21,6,5,-,#blackAF,TV Show,Yes,"Apr 17, 2020",4,22
2020-04-21,7,6,2,Ozark,TV Show,Yes,"Jul 21, 2017",25,207
2020-04-21,8,8,-,The Innocence Files,TV Show,Yes,"Apr 15, 2020",6,25
2020-04-21,9,-,5,All American,TV Show,,"Mar 28, 2019",27,160
2020-04-21,10,10,-,The Green Hornet,Movie,,"Apr 18, 2020",2,2
2020-04-22,1,1,-,Too Hot to Handle,TV Show,Yes,"Apr 17, 2020",5,44
2020-04-22,2,2,-,Outer Banks,TV Show,Yes,"Apr 15, 2020",7,54
2020-04-22,3,3,-,Despicable Me,Movie,,"Apr 16, 2020",6,56
2020-04-22,4,4,-,Waco,TV Show,,"Apr 16, 2020",4,20
2020-04-22,5,6,-,#blackAF,TV Show,Yes,"Apr 17, 2020",5,28
2020-04-22,6,5,1,"Tiger King: Murder, Mayhem …",TV Show,Yes,"Mar 20, 2020",30,284
2020-04-22,7,7,2,Ozark,TV Show,Yes,"Jul 21, 2017",26,211
2020-04-22,8,9,6,All American,TV Show,,"Mar 28, 2019",28,163
2020-04-22,9,8,-,The Innocence Files,TV Show,Yes,"Apr 15, 2020",7,27
2020-04-22,10,-,-,Cooked with Cannabis,TV Show,Yes,"Apr 20, 2020",1,1
2020-04-23,1,1,-,Too Hot to Handle,TV Show,Yes,"Apr 17, 2020",6,54
2020-04-23,2,2,6,Outer Banks,TV Show,Yes,"Apr 15, 2020",8,63
2020-04-23,3,4,-,Waco,TV Show,,"Apr 16, 2020",5,28
2020-04-23,4,-,-,The Willoughbys,Movie,Yes,"Apr 22, 2020",1,7
2020-04-23,5,3,-,Despicable Me,Movie,,"Apr 16, 2020",7,62
2020-04-23,6,7,2,Ozark,TV Show,Yes,"Jul 21, 2017",27,216
2020-04-23,7,6,1,"Tiger King: Murder, Mayhem …",TV Show,Yes,"Mar 20, 2020",31,288
2020-04-23,8,5,-,#blackAF,TV Show,Yes,"Apr 17, 2020",6,31
2020-04-23,9,-,-,Absurd Planet,TV Show,Yes,"Apr 22, 2020",1,2
2020-04-23,10,10,-,Cooked with Cannabis,TV Show,Yes,"Apr 20, 2020",2,2
2020-04-24,1,4,-,The Willoughbys,Movie,Yes,"Apr 22, 2020",2,17
2020-04-24,2,2,3,Outer Banks,TV Show,Yes,"Apr 15, 2020",9,72
2020-04-24,3,1,-,Too Hot to Handle,TV Show,Yes,"Apr 17, 2020",7,62
2020-04-24,4,3,-,Waco,TV Show,,"Apr 16, 2020",6,35
2020-04-24,5,6,4,Ozark,TV Show,Yes,"Jul 21, 2017",28,222
2020-04-24,6,5,1,Despicable Me,Movie,,"Apr 16, 2020",8,67
2020-04-24,7,7,2,"Tiger King: Murder, Mayhem …",TV Show,Yes,"Mar 20, 2020",32,292
2020-04-24,8,8,-,#blackAF,TV Show,Yes,"Apr 17, 2020",7,34
2020-04-24,9,9,-,Absurd Planet,TV Show,Yes,"Apr 22, 2020",2,4
2020-04-24,10,10,-,Cooked with Cannabis,TV Show,Yes,"Apr 20, 2020",3,3
2020-04-25,1,-,-,Extraction,Movie,Yes,"Apr 24, 2020",1,10
2020-04-25,2,1,-,The Willoughbys,Movie,Yes,"Apr 22, 2020",3,26
2020-04-25,3,2,3,Outer Banks,TV Show,Yes,"Apr 15, 2020",10,80
2020-04-25,4,3,5,Too Hot to Handle,TV Show,Yes,"Apr 17, 2020",8,69
2020-04-25,5,4,-,Waco,TV Show,,"Apr 16, 2020",7,41
2020-04-25,6,5,4,Ozark,TV Show,Yes,"Jul 21, 2017",29,227
2020-04-25,7,6,1,Despicable Me,Movie,,"Apr 16, 2020",9,71
2020-04-25,8,7,2,"Tiger King: Murder, Mayhem …",TV Show,Yes,"Mar 20, 2020",33,295
2020-04-25,9,9,-,Absurd Planet,TV Show,Yes,"Apr 22, 2020",3,6
2020-04-25,10,8,6,#blackAF,TV Show,Yes,"Apr 17, 2020",8,35
2020-04-26,1,1,-,Extraction,Movie,Yes,"Apr 24, 2020",2,20
2020-04-26,2,3,4,Outer Banks,TV Show,Yes,"Apr 15, 2020",11,89
2020-04-26,3,2,-,The Willoughbys,Movie,Yes,"Apr 22, 2020",4,34
2020-04-26,4,5,9,Waco,TV Show,,"Apr 16, 2020",8,48
2020-04-26,5,4,2,Too Hot to Handle,TV Show,Yes,"Apr 17, 2020",9,75
2020-04-26,6,8,3,"Tiger King: Murder, Mayhem …",TV Show,Yes,"Mar 20, 2020",34,300
2020-04-26,7,6,6,Ozark,TV Show,Yes,"Jul 21, 2017",30,231
2020-04-26,8,9,-,Absurd Planet,TV Show,Yes,"Apr 22, 2020",4,9
2020-04-26,9,7,1,Despicable Me,Movie,,"Apr 16, 2020",10,73
2020-04-26,10,-,-,Django Unchained,Movie,,"Oct 25, 2014",1,1
2020-04-27,1,1,-,Extraction,Movie,Yes,"Apr 24, 2020",3,30
2020-04-27,2,2,3,Outer Banks,TV Show,Yes,"Apr 15, 2020",12,98
2020-04-27,3,-,-,"Coronavirus, Explained",TV Show,Yes,"Apr 26, 2020",1,8
2020-04-27,4,3,-,The Willoughbys,Movie,Yes,"Apr 22, 2020",5,41
2020-04-27,5,4,7,Waco,TV Show,,"Apr 16, 2020",9,54
2020-04-27,6,5,2,Too Hot to Handle,TV Show,Yes,"Apr 17, 2020",10,80
2020-04-27,7,-,-,The Last Kingdom,TV Show,,"Jul 10, 2016",1,4
2020-04-27,8,10,-,Django Unchained,Movie,,"Oct 25, 2014",2,4
2020-04-27,9,7,6,Ozark,TV Show,Yes,"Jul 21, 2017",31,233
2020-04-27,10,6,4,"Tiger King: Murder, Mayhem …",TV Show,Yes,"Mar 20, 2020",35,301
2020-04-28,1,1,-,Extraction,Movie,Yes,"Apr 24, 2020",4,40
2020-04-28,2,2,2,Outer Banks,TV Show,Yes,"Apr 15, 2020",13,107
2020-04-28,3,7,-,The Last Kingdom,TV Show,,"Jul 10, 2016",2,12
2020-04-28,4,3,-,"Coronavirus, Explained",TV Show,Yes,"Apr 26, 2020",2,15
2020-04-28,5,4,-,The Willoughbys,Movie,Yes,"Apr 22, 2020",6,47
2020-04-28,6,-,-,Never Have I Ever,TV Show,Yes,"Apr 27, 2020",1,5
2020-04-28,7,5,4,Waco,TV Show,,"Apr 16, 2020",10,58
2020-04-28,8,6,1,Too Hot to Handle,TV Show,Yes,"Apr 17, 2020",11,83
2020-04-28,9,9,7,Ozark,TV Show,Yes,"Jul 21, 2017",32,235
2020-04-28,10,8,-,Django Unchained,Movie,,"Oct 25, 2014",3,5
2020-04-29,1,1,-,Extraction,Movie,Yes,"Apr 24, 2020",5,50
2020-04-29,2,6,-,Never Have I Ever,TV Show,Yes,"Apr 27, 2020",2,14
2020-04-29,3,2,2,Outer Banks,TV Show,Yes,"Apr 15, 2020",14,115
2020-04-29,4,3,-,The Last Kingdom,TV Show,,"Jul 10, 2016",3,19
2020-04-29,5,5,-,The Willoughbys,Movie,Yes,"Apr 22, 2020",7,53
2020-04-29,6,7,4,Waco,TV Show,,"Apr 16, 2020",11,63
2020-04-29,7,9,7,Ozark,TV Show,Yes,"Jul 21, 2017",33,239
2020-04-29,8,4,-,"Coronavirus, Explained",TV Show,Yes,"Apr 26, 2020",3,18
2020-04-29,9,8,1,Too Hot to Handle,TV Show,Yes,"Apr 17, 2020",12,85
2020-04-29,10,10,-,Django Unchained,Movie,,"Oct 25, 2014",4,6
2020-04-30,1,2,-,Never Have I Ever,TV Show,Yes,"Apr 27, 2020",3,24
2020-04-30,2,1,-,Extraction,Movie,Yes,"Apr 24, 2020",6,59
2020-04-30,3,3,2,Outer Banks,TV Show,Yes,"Apr 15, 2020",15,123
2020-04-30,4,4,-,The Last Kingdom,TV Show,,"Jul 10, 2016",4,26
2020-04-30,5,-,-,Murder to Mercy: The Cyntoi…,Movie,Yes,"Apr 29, 2020",1,6
2020-04-30,6,5,4,The Willoughbys,Movie,Yes,"Apr 22, 2020",8,58
2020-04-30,7,6,3,Waco,TV Show,,"Apr 16, 2020",12,67
2020-04-30,8,7,6,Ozark,TV Show,Yes,"Jul 21, 2017",34,242
2020-04-30,9,10,-,Django Unchained,Movie,,"Oct 25, 2014",5,8
2020-04-30,10,9,1,Too Hot to Handle,TV Show,Yes,"Apr 17, 2020",13,86
2020-05-01,1,1,-,Never Have I Ever,TV Show,Yes,"Apr 27, 2020",4,34
2020-05-01,2,-,-,Dangerous Lies,Movie,Yes,"Apr 30, 2020",1,9
2020-05-01,3,3,2,Outer Banks,TV Show,Yes,"Apr 15, 2020",16,131
2020-05-01,4,2,-,Extraction,Movie,Yes,"Apr 24, 2020",7,66
2020-05-01,5,5,-,Murder to Mercy: The Cyntoi…,Movie,Yes,"Apr 29, 2020",2,12
2020-05-01,6,4,-,The Last Kingdom,TV Show,,"Jul 10, 2016",5,31
2020-05-01,7,6,1,The Willoughbys,Movie,Yes,"Apr 22, 2020",9,62
2020-05-01,8,7,4,Waco,TV Show,,"Apr 16, 2020",13,70
2020-05-01,9,8,5,Ozark,TV Show,Yes,"Jul 21, 2017",35,244
2020-05-01,10,10,3,Too Hot to Handle,TV Show,Yes,"Apr 17, 2020",14,87
2020-05-02,1,2,-,Dangerous Lies,Movie,Yes,"Apr 30, 2020",2,19
2020-05-02,2,1,-,Never Have I Ever,TV Show,Yes,"Apr 27, 2020",5,43
2020-05-02,3,3,3,Outer Banks,TV Show,Yes,"Apr 15, 2020",17,139
2020-05-02,4,4,1,Extraction,Movie,Yes,"Apr 24, 2020",8,73
2020-05-02,5,5,-,Murder to Mercy: The Cyntoi…,Movie,Yes,"Apr 29, 2020",3,18
2020-05-02,6,6,-,The Last Kingdom,TV Show,,"Jul 10, 2016",6,36
